"RAZÃO SOCIAL";"NOME FANTASIA";"CNPJ";"NATUREZA JURIDICA";"DATA INICIO OPERAÇÃO";"PORTE";"SITUAÇÃO";"TIPO ATIVIDADE";"SUBTIPO ATIVIDADE";"CEP";"UF";"LOCALIDADE";"BAIRRO";"LOGRADOURO";"TELEFONE";"FAX";"E-MAIL2";"E-MAIL3";"SITE";"CÓDIGO CERTIFICADO";"CÓDIGO E DESCRIÇÃO CNAE";"CAPACIDADE DE LUGARES";"LINGUAS"
ROSIMEIRE DE LEMOS SOARES 72978350210;RESTAURANTE E CHURRASCARIA BURITI;"23.787.572/0001-68";Microempreendedor Individual (MEI);;Mei;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;69.340.000;RR;Mucajaí;Mucajaí;AV NOSSA SENHORA DE FÁTIMA, CENTRO;(95) 3452-1422;;mucajaisemcet@gmail.com;;;"22.075666.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";50;Nenhuma das Opções
ROMA EMPREENDIMENTOS E TURISMO LTDA;ROMA EMPREENDIMENTOS E TURISMO;"03.465.317/0002-72";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;75.690.000;GO;Caldas Novas;Caldas Novas;RUA:SAO CRISTOVAO N°805 BAIRRO:SOLAR CALDAS;(64) 3453-1586;(64) 3454-9006;jasom.vieira@diroma.com.br;;WWW.DIROMA.COM.BR;"09.017906.15.0002-3";"9329-8/99-ENTRETENIMENTO INFANTIL; PRESTAÇÃO DE SERVIÇOS DE (Secundário), 5611-2/01-RESTAURANTES E SIMILARES (Secundário)";200;
RCLM COMÉRCIO DE ALIMENTOS LTDA - EPP;SUSHI WAY;"20.429.680/0001-70";Sociedade Empresária;;Empresa de Pequeno Porte;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;70.077.900;DF;Brasília;Asa Norte;Q SDN ETAPA 1 LOJA 2040 - CONJ. NACIONAL;(61) 3327-8069;;sushi.way@com.br;;;"07.075697.15.0001-3";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";50;Nenhuma das Opções
A Y UTIDA - EPP;UTIDA SUSHI BAR;"09.305.162/0001-02";Empresário Individual (Não MEI);;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;79.805.011;MS;Dourados;Jardim Central;RUA MAJOR CAPILÉ, 2598;(67) 3423-9203;(67) 3423-1682;utidabr@yahoo.com.br;douglas_utida@hotmail.com;www.utidasushibar.com.br;"12.049859.15.0001-2";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";100;Nenhuma das Opções
ANDRE LUIZ MORAIS DE ALMEIDA - ME;QUIOSQUE SORVETERIA;"09.094.523/0001-19";Empresário Individual (Não MEI);;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Similar;79.290.000;MS;Bonito;Bonito;AVENIDA PILAD REBUA 1841 - CENTRO;(67) 8484-7701;(67) 3255-1059;wania.almeida@hotmail.com;g.alves.marques@uol.com.br;;"12.075210.15.0001-1";"5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Primário)";30;Nenhuma das Opções
MAMA VICTORIA PIZZARIA E SORVETERIA LTDA-ME;MAMA VICTORIA;"26.715.904/0001-97";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;75.800.014;GO;Jataí;Setor Central;RUA DORIVAL DE CARVALHO, 970 QUADRA 27 LOTE 05;(64) 3631-1366;;mamavitoria@bol.com.br;;;"09.074666.15.0001-6";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";50;Nenhuma das Opções
HENRIQUE VIEIRA MEDEIROS - ME;RESTAURANTE ATLÂNTICO SUL;"03.076.198/0001-85";Empresário Individual (Não MEI);;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;88.790.000;SC;Laguna;Laguna;AV. SENADOR GALOTTI, 360, SL 01;(48) 3647-2929;;at@atlanticosullaguna.com.br;;;"24.081376.15.0001-9";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";264;
CHICKEN CIDADE NOVA FAST FOOD- EIRELI ME;CHICKEN CIDADE NOVA FAST FOOD;"21.313.682/0001-62";Empresa Individual (EIRELI);;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;31.160.370;MG;Belo Horizonte;União;RUA ALBERTO CINTRA , 206 - LJ:04;(31) 3471-2000;;boibrasil.alimentos@hotmail.com;;;"11.078430.15.0001-7";"5611-2/01-RESTAURANTES E SIMILARES (Secundário)";160;Espanhol
RESTAURANTE MIRANTE LTDA - ME;RESTAURANTE E CHURRASCARIA ESPELHO DAGUA;"07.967.361/0001-50";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;37.930.000;MG;Capitólio;Capitólio;ROD MG 050 S/Nº;(37) 99934-1265;(37) 99934-1265;contato@churrascariaespelhodagua.com;;;"11.089991.15.0001-8";"5611-2/01-A PESO; ALIMENTAÇÃO, COMIDA, REFEIÇÃO (Secundário)";160;Nenhuma das Opções
CERVEJARIA LAGUNA LTDA - ME;LAGUNA BREWERY COMPANY;"23.465.504/0001-82";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Bar;88.790.000;SC;Laguna;Laguna;AV JOAO PINHO, 872 - BAIRRO MAR GROSSO;(48) 98466-4420;;viniciusmullerbratti@gmail.com;;facebook.com/lagunacraftbeer;"24.089593.15.0001-7";"5611-2/02-BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS (Secundário)";20;Inglês
CHICAGO PRIME PARRILLA LTDA - ME;CHICAGO PRIME PARRILLA;"23.792.176/0001-29";Sociedade Empresária;;Empresa de Pequeno Porte;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;70.377.530;DF;Brasília;Asa Sul;SHCS QUADRA 114, BLOCO C, LOJA 03;(61) 99623-5452;;alexandre@chicagoprime.com.br;tcsalves@gmail.com;;"07.082148.15.0001-1";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";180;Nenhuma das Opções
LUANA DA CUNHA NEVES ZABOJNIK - ME;LUANA DA CUNHA NEVES ZABOJNIK - ME;"14.813.351/0001-26";Empresário Individual (Não MEI);;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;23.943.600;RJ;Angra dos Reis;Santa Rita do Bracuí (Cunhambebe);ESTRADA SANTA RITA, N°04 PARTE;(24) 3363-2345;;ivan.zabojnik@gmail.com;;;"19.080541.15.0001-8";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";45;Espanhol ,Inglês
M. DA S. APRIGIO RESTAURANTE E CHURRASCARIA;BELO HORIZONTE BOSQUE FAZENDA;"06.943.576/0001-79";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;57.250.000;AL;Campo Alegre;Campo Alegre;RODOVIA AL 220, KM 30;(82) 3275-1156;(82) 3275-1137;belohorizontebosquefazenda@gmail.com;;;"02.039962.15.0001-9";"5611-2/01-A PESO; ALIMENTAÇÃO, COMIDA, REFEIÇÃO (Primário), 5510-8/01-HOTEL (Secundário)";300;Nenhuma das Opções
ELEUDE MAGALHÃES  MORAES-ME;RESTAURANTE PARAÍSO;"01.563.447/0001-31";Empresário Individual (Não MEI);;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;68.647.000;PA;Tracuateua;Tracuateua;RUA SÃO SEBASTIÃO, Nº100 TÉRREO;(91) 98427-6858;;ritapacheconasciment1@hotmail.com;;;"14.073916.15.0001-8";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";80;
XARAK SUPER LANCHES LTDA - ME;XARAK SUPER LANCHES LTDA - ME;"01.447.320/0001-57";Empresa Individual (EIRELI);;Empresa de Pequeno Porte;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;3.694.000;SP;São Paulo;Parque Paineiras;"AVENIDA AGUIA DE HAIA; N° 415";(11) 2042-3021;;calahans@uol.com.br;;www.calahans.com.br;"26.053544.15.0001-8";"5611-2/01-RESTAURANTES E SIMILARES (Secundário)";180;Nenhuma das Opções
JJ PADARIA LANCHONETE E RESTAURANTE LTDA - ME;DELICIAS DO TRIGO;"15.186.351/0001-06";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;88.780.000;SC;Imbituba;Imbituba; R ERNANI COTRIN , 234;(48) 3255-3507;;tailor_df@yahoo.com.br;;;"24.089675.15.0001-4";"5611-2/01-RESTAURANTES E SIMILARES (Secundário)";50;Inglês
VITORINO PRODUTOS ALIMENTICIOS LTDA - ME;RESTAURANTE VITORINO;"18.238.718/0001-86";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;89.300.000;SC;Mafra;Mafra;RUA VITORINO BACELAR, 89;(47) 3641-7799;(47) 3641-7799;cozinha2@restaurantevitorino.com.br;financeiro@hotelemacite.com.br;www.restaurantevitorino.com.br;"24.081120.15.0001-2";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";120;Espanhol ,Italiano ,Inglês
IRMAOS SAMARA COMERCIO DE ALIMENTOS LTDA;TARBUSH;"22.779.190/0001-20";Sociedade Empresária;;Empresa de Pequeno Porte;Em Operação;Restaurantes, Cafeterias e Bares;Cafeteria;97.015.002;RS;Santa Maria;Centro;RUA DOUTOR BOZANO;(55) 3027-2500;;contato@tarbush.com.br;;https://www.facebook.com/tarbushsm;"23.087752.15.0001-4";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";35;Nenhuma das Opções
RENATO MATHEUS CARDOSO RESTAURANTE - EPP;RENATO MATHEUS CARDOSO RESTAURANTE - EPP;"18.992.934/0001-12";Empresário Individual (Não MEI);;Empresa de Pequeno Porte;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;17.013.113;SP;Bauru;Chácara das Flores;R GENERAL MARCONDES SALGADO QUADRA, 11-39, LOJA 202;(14) 3243-9995;;contao@saolourencoemporio.com.br;;;"26.081074.15.0001-1";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";200;Espanhol ,Inglês
TROIA RESTAURANTE E LANCHONETE LTDA - ME;TROIA;"22.193.180/0001-08";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;70.670.522;DF;Cruzeiro;Setor Sudoeste;"SHC/CLSW QUADRA 103 BLOCO B - LOJA 03, 05 -SUBSOLO; 02,04,0678,80 - TÉRREO";(61) 3465-3374;;gustavo@restaurantecozinhaesabor.com.br;;www.troiagastronomia.com.br;"07.081609.15.0001-6";"5611-2/01-RESTAURANTES E SIMILARES (Secundário)";300;Espanhol ,Inglês
IZANETE MADALOZO E FILHOS LTDA - EPP;RESTAURANTE MADALOZO;"85.065.613/0001-60";Sociedade Empresária;"16/06/1992";Empresa de Pequeno Porte;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;83.350.000;PR;Morretes;Morretes;RUA ALMIRANTE FREDERICO DE OLIVEIRA, 16 VILA SANTO ANTONIO;(41) 3462-1410;(41) 98874-2251;madalozo@madalozo.com.br;;;"18.034808.15.0001-8";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";700;Inglês
A.S DE OLIVEIRA - ME;RESTAURANTE PARAENCE;"14.329.809/0001-76";Empresa Individual (EIRELI);;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;69.950.000;AC;Manoel Urbano;Manoel Urbano;AV.VALERIO CALDAS MAGALHÃES,S/Nº.CENTRO;(68) 9911-6795;;estelasouza2011@hotmail.com;;;"01.053181.15.0001-9";"5611-2/01-RESTAURANTE COM SERVIÇO COMPLETO
 (Primário)";50;
RESTAURANTE FRUTOS DO MAR ITAGUÁ LTDA -EPP;RESTAURANTE FRUTOS DO MAR ITAGUÁ LTDA -EPP;"13.109.775/0001-41";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;11.680.000;SP;Ubatuba;Ubatuba;AV. LEOVIGILDO DIAS VIEIRA, 1226;(12) 3832-3732;;saborana@hotmail.com;;;"26.043036.15.0001-5";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";200;Nenhuma das Opções
E.A.B.DE.DEUS-ME;BAR E RESTAURANTE ASA BRANCA;"12.581.263/0001-10";Empresário Individual (Não MEI);;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;69.934.000;AC;Epitaciolândia;Epitaciolândia;AV:INTERNACIONAL-207-CENTRO;(68) 3546-5304;(68) 9934-4002;laionbrito@hotmail.com;;;"01.055158.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";85;Nenhuma das Opções
V M B RAMOS RESTAURANTE - ME;V M B RAMOS RESTAURANTE;"08.148.154/0001-37";Empresário Individual (Não MEI);;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;65.590.000;MA;Barreirinhas;Barreirinhas;AV. BEIRA RIO, 175 CENTRO;(98) 3349-0628;(98) 3349-0627;barlavento_restaurante@ig.com.br;;;"10.038059.15.0001-7";"5611-2/01-ALIMENTAÇÃO COM SERVIÇO COMPLETO; SERVIÇOS DE (Primário)";60;
ROSEANE SILVA VELOSO - 021.854.784-60;RESTAURANTE MANZUÁ GOURMET;"13.175.597/0001-57";Microempreendedor Individual (MEI);;Mei;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;57.940.000;AL;São Miguel dos Milagres;São Miguel dos Milagres;AV. NELSON LEÃO PIRAUA, 16;(82) 9367-4454;;manzuagastro@hotmail.com;;;"02.067125.15.0001-3";"5611-2/01-RESTAURANTES E SIMILARES (Secundário)";100;
CINTIA IMPERATRIZ - ME;CASA DA PIZZA;"09.316.525/0001-05";Microempreendedor Individual (MEI);;Mei;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;76.420.000;GO;Niquelândia;Niquelândia;RUA MINAS GERAIS Nº 85 BAIRRO BELO HORIZONTE;(62) 3354-1615;(62) 3354-1516;mega.contabil33@gmail.com;;;"09.076698.15.0001-9";"5611-2/01-RESTAURANTES E SIMILARES (Primário), 5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Secundário)";56;Nenhuma das Opções
COMERCIAL DE ALIMENTOS E BEBIDAS 2501 LTDA - ME;RESTAURANTE ANAMÁ;"05.876.992/0001-39";Sociedade Empresária;"01/11/2003";Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;57.035.160;AL;Maceió;Ponta Verde;AV. SÍLVIO CARLOS VIANA, 2501;(82) 3305-4405;(82) 99926-9776;coordenadoraeb@restauranteanama.com.br;contato@restauranteanama.com.br;www.restauranteanama.com.br;"02.030985.15.0001-2";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";0;Espanhol
A.F.DE SOUZA;RESTAURANTE LIDER;"14.362.875/0001-48";Empresário Individual (Não MEI);;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;69.960.000;AC;Feijó;Feijó;AV:MARECHAL DEODORO,923,CENTRO;(68) 3463-2471;(68) 8111-2123;lider_fj@hotmial.com;;;"01.049481.15.0001-9";"5611-2/01-A KILO; ALIMENTAÇÃO, COMIDA, REFEIÇÃO (Primário)";45;Nenhuma das Opções
BOLSHOI PUB, RESTAURANTE E DANCETERIA LTDA-EPP;BOLSHOI PUB;"06.191.898/0001-09";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;74.215.150;GO;Goiânia;Setor Bueno;RUA T-53, QD.90, LT. 08, N° 1140, SETOR BUENO;(62) 3241-0731;;danuza@bolshoipub.com.br;;;"09.075660.15.0001-7";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";100;Espanhol ,Inglês
VANESSA VAGNOTTI SANTOS - ME;RISOTTERIA ARANCINA;"26.610.093/0001-60";Empresário Individual (Não MEI);;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;88.380.000;SC;Balneário Piçarras;Balneário Piçarras;AV JOSE TEMISTOCLES DE MACEDO, 106;(47) 99900-8999;;risotteriaarancina@hotmail.com;;;"24.089677.15.0001-9";"5611-2/01-RESTAURANTES E SIMILARES (Secundário)";60;Espanhol ,Inglês
MARIA ELIANA DE FARIA ME;POUSADA E RESTAURANTE ELIANA;"10.923.766/0001-00";Sociedade Empresária;"11/05/2009";Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;76.523.000;GO;Bandeirantes;Bandeirantes;RUA 04 S/N QD.05 LT.19;(62) 3341-3225;;pousadaerestauranteeliane@hotmail.com;;;"09.031097.15.0001-1";"5510-8/01-HOTEL (Primário), 5611-2/01-RESTAURANTES E SIMILARES (Secundário)";30;Nenhuma das Opções
POUSADA PARAISO SEM FRONTEIRAS LTDA-ME;POUSADA PARAISO SEM FRONTEIRAS;"10.869.331/0001-16";Sociedade Empresária;;Empresa de Pequeno Porte;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;58.326.000;PB;Caaporã;Caaporã;RUA CLEMENTE FERREIRA ,1155;(83) 3286-1309;(83) 3286-1309;barrosfenelon@ig.com.br;;pousadaparaisocaapora.com.br;"15.055836.15.0001-9";"5510-8/01-HOTEL (Primário), 5611-2/01-SELF-SERVICE; SERVIÇO DE ALIMENTAÇÃO (Secundário)";60;Espanhol ,Inglês
MORANGUINHO CONFEITARIA E DOCERIA LTDA;**************;"25.166.111/0001-01";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Similar;72.320.522;DF;Samambaia;Samambaia Norte;QS. 410 CONJ. B LOTE 02 E 03;(61) 99172-7984;;moranguinhoconfeitaria@gmail.com;;;"07.083967.15.0001-5";"5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Primário)";230;Inglês
PIRANI & PENTEADO LTDA - ME;PIZZA EM KASA;"08.080.796/0001-41";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;86.600.069;PR;Rolândia;CENTRO;AVENIDA CASTRO ALVES, 1804;(43) 3255-4459;;marildapirani@hotmail.com;;;"18.084254.15.0001-6";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";130;Inglês
VICTOR DA COSTA POMPEU CIA LTDA - ME;POUSADA BICHO DO MATO;"05.371.143/0001-23";Sociedade Empresária;"01/07/2002";Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;37.680.000;MG;Gonçalves;Gonçalves;BAIRRO SERTÃO DO CANTA GALO S/N;(35) 9976-9970;;pousada@pousadabichodomato.com.br;;WWW.POUSADABICHODOMATO.COM.BR;"11.012048.15.0001-0";"5611-2/01-RESTAURANTE COM SERVIÇO COMPLETO
 (Secundário), 5510-8/01-HOTEL (Secundário)";60;Nenhuma das Opções
LENEIDE FERNANDES MAIA;RESTAURANTE MANGAI;"35.434.844/0001-25";Empresário Individual (Não MEI);;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;58.038.310;PB;João Pessoa;Manaíra;RUA EUTIQUIANO BARRETO, S/N;(83) 3226-1615;(83) 3247-5840;iris@mangai.com.br;;www.mangai.com.br;"15.055840.15.0001-1";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";450;
CHUVEIRÃO LANCHES LTDA - ME;CHUVEIRÃO LANCHES;"15.194.278/0001-14";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;88.715.000;SC;Jaguaruna;Jaguaruna;RODOVIA SC 442, ARNO ARNALDO NAPOLI, S/N;(48) 99989-7112;;chuveirao.jagua@hotmail.com;;;"24.088801.15.0001-7";"5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Primário)";250;Nenhuma das Opções
JERANI SILVA COELHO;POUSADA DA NI;"37.631.298/0001-48";Empresário Individual (Não MEI);;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;73.740.000;GO;Colinas do Sul;Colinas do Sul;R BRASILIA ESQ.COM R GOV.JOSE LUDOV. LT 01E02;(62) 3486-1259;;letispaulino@hotmail.com;;;"09.045105.15.0001-7";"5510-8/01-HOTEL (Primário), 5611-2/01-A PESO; ALIMENTAÇÃO, COMIDA, REFEIÇÃO (Secundário)";28;Nenhuma das Opções
HEITOR DESCHAMPS FILHO - ME;TUTTYS RESTAURANTE;"11.199.174/0001-41";Empresário Individual (Não MEI);;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;88.380.000;SC;Balneário Piçarras;Balneário Piçarras;RUA ITACOLOMI, 25;(47) 3345-1169;;heitortuttys@hotmail.com;;;"24.089291.15.0001-6";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";130;Nenhuma das Opções
M.E.R BENEVIDES;RESTAURANTE E PIZZARIA ALMANARA;"13.349.653/0001-22";Empresário Individual (Não MEI);;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;69.980.000;AC;Cruzeiro do Sul;Cruzeiro do Sul;AV.CEL.MANCIO LIMA-1213-CENTRO;(68) 9911-6035;(68) 9921-2425;netrodrigues@hotmail.com;;;"01.063590.15.0001-3";"5611-2/01-RESTAURANTES E SIMILARES (Secundário)";73;Nenhuma das Opções
YAMAZATO LAZER E TURISMO LTDA-ME;PESK & LAZER  NIPPON;"07.993.760/0001-96";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Similar;79.114.100;MS;Campo Grande;Conjunto José Abrão;R. ALBERTO LAMEGO, S/N, ESTRADA INFERNINHO, 2,5 KM;(67) 9922-8811;(67) 3382-2602;adm@wsorganizacaocontabil.com.br;;;"12.051454.15.0001-1";"5611-2/01-RESTAURANTE COM SERVIÇO COMPLETO
 (Secundário)";300;Nenhuma das Opções
ADL DISTRIBUIDORA LTDA. - ME;ADL DISTRIBUIDORA LTDA.;"16.920.187/0001-81";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;57.800.000;AL;União dos Palmares;União dos Palmares;POVOADO TAQUARI, RUA DO TAQUARI   S/N;(82) 99931-3397;;adeiltolimapj@gmail.com;;;"02.084560.15.0001-8";"5611-2/01-RESTAURANTES E SIMILARES (Secundário)";200;Nenhuma das Opções
ALLA  RESTAURANTE E CHOPPERIA LTDA-EPP;RESTAURANTE E CHOPPERIA IPE;"09.391.463/0001-04";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;75.690.000;GO;Caldas Novas;Caldas Novas;AV CEL CIRILO LOPES DE MORAES 715 QD: 00A LT:08 TURISTA 1;(64) 3454-2517;;choperia@pousadaipe.com.br;;;"09.081044.15.0001-6";"5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Primário)";300;Nenhuma das Opções
ALEXANDRE S. BITTENCOURT & CIA LTDA - ME;PIZZARIA BITTENCOURT;"01.189.699/0001-42";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Bar;97.300.000;RS;São Gabriel;São Gabriel;R PERI DA CUNHA GONÇALVES 375 -  VILA DOS BANCÁRIOS;(55) 3232-1775;;coordenacaosg@farrapos.com.br;;www.pizzariabittencourt.com.br/sgabriel;"23.085205.15.0001-8";"5611-2/01-PIZZARIA COM SERVIÇO COMPLETO; SERVIÇO DE ALIMENTAÇÃO (Primário)";140;Espanhol
JOYCE KUNIETSCKI RODRIGUES - ME;PORTO GASTRONOMIA E EVENTOS;"24.673.567/0001-97";Empresário Individual (Não MEI);;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;89.240.000;SC;São Francisco do Sul;São Francisco do Sul;RUA BABITONGA, SNR, BOX 10;(47) 3444-8006;;fabiosaochico@terra.com.br;;;"24.087987.15.0001-2";"5611-2/02-BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS (Primário), 5611-2/01-RESTAURANTES E SIMILARES (Secundário)";150;Nenhuma das Opções
LANCHONETE CIDADE LTDA - ME;CONVENIENCIA CIDADE;"17.582.458/0001-07";Empresário Individual (Não MEI);;Empresa de Médio ou Grande Porte;Em Operação;Restaurantes, Cafeterias e Bares;Similar;78.820.000;MT;Jaciara;Jaciara;AV PIRACICABA, Nº 949;(66) 3461-1236;;convenienciacidade@hotmail.com;;;"13.084694.15.0001-4";"5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Secundário)";80;Nenhuma das Opções
RYORI TEMAKERIA EIRELI - ME;RYORI TEMAKERIA RESTAURANTE;"22.596.644/0001-27";Empresa Individual (EIRELI);;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;68.537.000;PA;Canaã dos Carajás;Canaã dos Carajás;AV. WEYNE CAVALCANTE, S/N°;(94) 99290-6770;;turismo.canaa@hotmail.com;;;"14.079356.15.0001-8";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";45;Nenhuma das Opções
PONTA DA BARCA EMPREENDIMENTOS TURISTICOS E SERVICOS DE BAR E RESTAURANTE LTDA ME;PONTA DA BARCA;"01.626.539/0001-13";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;23.968.000;RJ;Ilha Grande;Ilha Grande;PRAIA VERMELHA - S/N - QUINTO DISTRITO;(24) 99815-3825;;jmrferreira@gmail.com;;;"19.074498.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário), 5510-8/01-HOTEL (Secundário)";30;Nenhuma das Opções
PARRILLA RIO BAR E RESTAURANTE LTDA;CORRIENTES 348 MARINA DA GLORIA;"19.335.758/0002-90";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;20.021.140;RJ;Rio de Janeiro;Glória;AV INFANTE DOM HENRIQUE S/Nº - MARINA DA GLORIA;(21) 2557-4027;;financeiro01@corrientes348.com.br;;wwwcorrientes348.com.br;"19.080825.15.0002-8";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";350;Nenhuma das Opções
E FOODS COMÉRCIO DE ALIMENTOS EIRELI - ME;MOB. FUN & FRESH FOOD;"17.065.828/0001-20";Empresa Individual (EIRELI);;Empresa de Pequeno Porte;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;80.020.020;PR;Curitiba;Centro;AVENIDA LUIZ XAVIER, 68 LOJA 17;(41) 3324-1102;;legal@excelenciacontabilidade.com.br;;;"18.080463.15.0001-8";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";80;Espanhol ,Inglês
PANIFICADORA E CONFEITARIA FAMILIA FURTADO EIRELI - ME;PANIFICADORA ALIANÇA;"24.874.606/0001-14";Empresa Individual (EIRELI);;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Similar;72.275.466;DF;Ceilândia;Ceilândia Norte;Q QNR 04 CONJ. H LOTE 04 ;(61) 8238-3142;;panificadorafamiliafurtado@gmail.com;;;"07.079315.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";60;Nenhuma das Opções
LENI REGINA PACASSA - ME;CASARÃO RESTAURANTE;"05.758.054/0001-34";Empresário Individual (Não MEI);;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;89.820.000;SC;Xanxerê;Xanxerê;RUA JOSÉ BONIFÁCIO 157 CENTRO;(49) 3433-1868;;sheii.burtulli@hotmail.com;;;"24.087839.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário), 5611-2/02-BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS (Secundário), 5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Secundário)";100;Italiano ,Inglês
